package,severity,version,fixed_version,description,cve_id,source
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ca8210: fix mac_len negative arr","CVE-2023-53040"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: ethtool: fix the error cond","CVE-2024-40928"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mtd: rawnand: intel: fix possibl","CVE-2022-49487"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: dm-flakey: Fix memory corruption","CVE-2025-21966"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: RDMA/core: Silence oversized kvm","CVE-2025-37867"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In rds_recv_track_latency in net/rds/af_rds.c in the Linux kernel through 6.7.1, there is an off-by-","CVE-2024-23849"
"openssl","HIGH","1.1.1d-0+deb10u4","1.1.1d-0+deb10u8","The BN_mod_sqrt() function, which computes a modular square root, contains a bug that can cause it t"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: scsi: qla2xxx: Synchronize the I","CVE-2023-53056"
"libgcc1","LOW","1:8.3.0-6","N/A","**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains  that target AArch64 ","CVE-2023-4039","tykio/tyk-gateway","tykio/tyk-dashboard"
"libpython3.7-minimal","MEDIUM","3.7.3-2+deb10u3","3.7.3-2+deb10u5","There's a flaw in Python 3's pydoc. A local or adjacent attacker who discovers or is able to convinc","CVE-2021-3426","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: usb: gadget: uvc: Fix ERR_PTR de","CVE-2024-50056"
"linux-libc-dev","LOW","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: spi: don't unoptimize message in","CVE-2024-42249"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: netfilter: flowtable: initialise","CVE-2024-45018"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: staging: vchiq_arm: Avoid NULL p","CVE-2022-49106"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mm/page_alloc: don't call pfn_to","CVE-2024-57881"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/amd/display: ASSERT when fai","CVE-2024-42117"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: char: xillybus: Don't destroy wo","CVE-2024-45007"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: x86/kexec: Fix bug with call dep","CVE-2024-40944"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mmc: sdhci: Fix max_seg_size for","CVE-2024-42242"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: usb: typec: ucsi: Fix NULL point","CVE-2025-21918"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: um: vector: Do not use drvdata i","CVE-2024-53181"
"curl","MEDIUM","7.64.0-4+deb10u1","N/A","libcurl's ASN1 parser code has the `GTime2str()` function, used for parsing an ASN.1 Generalized Tim","CVE-2024-7264"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: Drivers: hv: vmbus: Track decryp","CVE-2024-36912"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: btrfs: fix adding block group to","CVE-2024-42103"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: stmmac: dwmac-tegra: Read i","CVE-2025-21663"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mm/slab: fix warning caused by d","CVE-2024-53065"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: KEYS: trusted: dcp: fix leak of ","CVE-2024-45004"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: LoongArch: Don't crash in stack_","CVE-2024-50133"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: pinmux: Use sequential access to","CVE-2024-47141"
"linux-libc-dev","HIGH","4.19.194-3","4.19.282-1","A double-free flaw was found in the Linux kernel’s TUN/TAP device driver functionality in how a user","CVE-2022-4744","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: netfs: Fix kernel async DIO Netf","CVE-2025-21643"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: VMCI: Fix use-after-free when re","CVE-2024-46738"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: media: nuvoton: Fix an error che","CVE-2024-58082"
"curl","HIGH","7.64.0-4+deb10u1","7.64.0-4+deb10u3","libcurl would reuse a previously created connection even when a TLS or SSHrelated option had been ch","CVE-2022-27782","tykio/tyk-dashboard"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: i2c: designware: use casting of ","CVE-2022-49749"
"openssl","CRITICAL","1.1.1d-0+deb10u7","1.1.1n-0+deb10u2","The c_rehash script does not properly sanitise shell metacharacters to prevent command injection. Th","CVE-2022-1292","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ipv6: prevent possible UAF in ip","CVE-2024-44985"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: xprtrdma: treat all calls not a ","CVE-2022-49321"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.304-1","A NULL pointer dereference flaw was found in the Linux kernel ipv4 stack. The socket buffer (skb) wa","CVE-2023-42754","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: btrfs: fix use-after-free of blo","CVE-2024-50217"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/amd/pm: fixes a random hang ","CVE-2024-36026"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: wifi: cfg80211: fix buffer overf","CVE-2022-49023"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: iio: adc: at91_adc: fix possible","CVE-2022-49794"
"linux-libc-dev","LOW","4.19.194-3","4.19.260-1","A vulnerability was found in Linux Kernel. It has been declared as problematic. This vulnerability a","CVE-2022-3629","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.232-1","In the Linux kernel, the following vulnerability has been resolved: nfp: Fix memory leak in nfp_cpp_","CVE-2021-47516"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: media: aspeed: Fix memory overwr","CVE-2023-52916"
"libc6-dev","CRITICAL","2.28-10","2.28-10+deb10u2","The deprecated compatibility function clnt_create in the sunrpc module of the GNU C Library (aka gli","CVE-2022-23219","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mptcp: pm: only mark 'subflow' e","CVE-2024-45010"
"libtinfo6","HIGH","6.1+20181013-2+deb10u2","6.1+20181013-2+deb10u3","ncurses 6.3 before patch 20220416 has an out-of-bounds read and segmentation violation in convert_st","CVE-2022-29458","tykio/tyk-gateway","tykio/tyk-dashboard"
"linux-libc-dev","LOW","4.19.194-3","N/A","The acpi_ds_create_operands() function in drivers/acpi/acpica/dsutils.c in the Linux kernel through ","CVE-2017-13693","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: clk: qcom: mmcc-msm8974: fix ter","CVE-2024-26965"
"curl","HIGH","7.64.0-4+deb10u2","7.64.0-4+deb10u3","libcurl would reuse a previously created connection even when a TLS or SSHrelated option had been ch","CVE-2022-27782","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: SUNRPC: fix some memleaks in gss","CVE-2024-27388"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mm/mempolicy: fix migrate_to_nod","CVE-2024-56611"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: mctp: Set SOCK_RCU_FREE Bin","CVE-2025-37790"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: arm64/sve: Discard stale CPU sta","CVE-2024-50275"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/drm_file: Fix pid refcountin","CVE-2024-39486"
"curl","LOW","7.64.0-4+deb10u1","N/A","When libcurl is asked to perform automatic gzip decompression of content-encoded HTTP responses with","CVE-2025-0725","tykio/tyk-dashboard"
"gpgv","LOW","2.2.12-1+deb10u1","N/A","GnuPG can be made to spin on a relatively small input by (for example) crafting a public key with th","CVE-2022-3219","tykio/tyk-gateway","tykio/tyk-dashboard"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: Drivers: hv: vmbus: Fix potentia","CVE-2022-49098"
"libexpat1","HIGH","2.2.6-2+deb10u1","2.2.6-2+deb10u3","In Expat (aka libexpat) before 2.4.5, there is an integer overflow in copyString.","CVE-2022-25314"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: SUNRPC: lock against ->sock chan","CVE-2022-48816"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/amd/display: Assign linear_p","CVE-2024-46732"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: f2fs: avoid format-overflow warn","CVE-2023-52748"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","A null pointer dereference issue was found in the sctp network protocol in net/sctp/stream_sched.c i","CVE-2023-2177","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: Bluetooth: hci_qca: Fix driver s","CVE-2022-48878"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/amd/display: Fix slab-use-af","CVE-2025-21968"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: bpf: Take return from set_memory","CVE-2024-42067","CVE-2024-42068"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: phy: phy_device: Prevent nu","CVE-2024-35945"
"libpython3.7-dev","MEDIUM","3.7.3-2+deb10u3","3.7.3-2+deb10u6","An issue was discovered in compare_digest in Lib/hmac.py in Python through 3.9.1. Constant-time-defe","CVE-2022-48566","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: nilfs2: add missing check for in","CVE-2024-42104"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: cdrom: rearrange last_media_chan","CVE-2024-42136"
"linux-libc-dev","HIGH","4.19.194-3","4.19.282-1","Use After Free vulnerability in Linux kernel traffic control index filter (tcindex) allows Privilege","CVE-2023-1281","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: f2fs: fix to do sanity check on ","CVE-2022-49738","CVE-2024-44942"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: wifi: ath12k: fix invalid memory","CVE-2024-43847"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: ecryptfs: Fix buffer size for ta","CVE-2024-38578"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: scsi: qla2xxx: Fix premature hw ","CVE-2022-49157"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: cpufreq: pmac32-cpufreq: Fix ref","CVE-2022-49621"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/msm/gem: prevent integer ove","CVE-2024-52559"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: HID: i2c-hid: remove I2C_HID_REA","CVE-2024-35997"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: rtc: pcf85063: fix potential OOB","CVE-2024-58069"
"curl","HIGH","7.64.0-4+deb10u1","7.64.0-4+deb10u6","A vulnerability in input validation exists in curl <8.0 during communication using the TELNET protoc","CVE-2023-27533","tykio/tyk-dashboard"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: nilfs2: fix kernel bug due to mi","CVE-2024-50230"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: pmdomain: imx: gpcv2: Adjust del","CVE-2024-56618"
"libpython3.7","MEDIUM","3.7.3-2+deb10u3","N/A","The email module of Python through 3.11.3 incorrectly parses e-mail addresses that contain a special","CVE-2023-27043","tykio/tyk-gateway"
"libhogweed4","HIGH","3.4.1-1","3.4.1-1+deb10u1","A flaw was found in the way nettle's RSA decryption functions handled specially crafted ciphertext. ","CVE-2021-3580","tykio/tyk-dashboard"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: wifi: mac80211: sdata can be NUL","CVE-2022-48875"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: soc: qcom: pmic_glink: Fix race ","CVE-2024-46693"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/amdgpu: fix use-after-free b","CVE-2024-26656"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: dsa: mv88e6xxx: Fix out-of-","CVE-2024-44988"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: bpf: Skip invalid kfunc call in ","CVE-2023-52928"
"curl","MEDIUM","7.64.0-4+deb10u2","N/A","When curl is told to use the Certificate Status Request TLS extension, often referred to as OCSP sta","CVE-2024-8096"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: smb/client: avoid possible NULL ","CVE-2024-44992"
"linux-libc-dev","HIGH","4.19.194-3","4.19.232-1","In several functions of binder.c, there is a possible way to represent the wrong domain to SELinux d","CVE-2021-39686"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: comedi: vmk80xx: fix incomplete ","CVE-2024-27001"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ovl: support encoding fid from i","CVE-2025-21654"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: sched: Disallow replacing o","CVE-2025-21700"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: firmware: qcom: scm: Cleanup glo","CVE-2024-57985"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: netfs: Delete subtree of 'fs/net","CVE-2024-47733"
"curl","HIGH","7.64.0-4+deb10u2","7.64.0-4+deb10u6","A vulnerability in input validation exists in curl <8.0 during communication using the TELNET protoc","CVE-2023-27533","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","4.19.232-1","A use-after-free flaw was found in nci_request in net/nfc/nci/core.c in NFC Controller Interface (NC","CVE-2021-4202","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: iio: dummy: iio_simply_dummy_buf","CVE-2024-57911"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm: adv7511: Fix use-after-free","CVE-2024-57887"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ext4: dax: fix overflowing exten","CVE-2024-50015"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: powerpc/rtas: Prevent Spectre v1","CVE-2024-46774"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: KVM: x86: Acquire SRCU in KVM_GE","CVE-2025-23141"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: arm64: cacheinfo: Avoid out-of-b","CVE-2025-21785"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.208-1","In the Linux kernel, the following vulnerability has been resolved: isdn: mISDN: netjet: Fix crash i","CVE-2021-47284"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: eth: bnxt: always recalculate fe","CVE-2025-21682"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: iommu/arm-smmu-v3: Don't unregis","CVE-2022-48894"
"linux-libc-dev","LOW","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/panel: ilitek-ili9881c: Fix ","CVE-2024-42087"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: nvme-fc: Prevent null pointer de","CVE-2023-52508"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: blk-mq: Fix kmemleak in blk_mq_i","CVE-2022-49901"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: xsk: Fix race at socket teardown","CVE-2022-49215"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: media: dvb-core: add missing buf","CVE-2024-50291"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.282-1","A memory corruption flaw was found in the Linux kernel’s human interface device (HID) subsystem in h","CVE-2023-1073","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: md: fix double free of io_acct_s","CVE-2022-49384"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: btrfs: lock the inode in shared ","CVE-2023-52737"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.289-1","A null pointer dereference flaw was found in the Linux kernel's DECnet networking protocol. This iss","CVE-2023-3338","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/msm/dpu: Fix memory leak in ","CVE-2022-48888"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.232-1","A flaw was found in the Linux kernel. A corrupted timer tree caused the task wakeup to be missing in","CVE-2021-20317","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: rpcrdma: Always release the rpcr","CVE-2024-53077"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: macvlan: enforce a consistent mi","CVE-2022-49776"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: btrfs: handle errors from btrfs_","CVE-2024-46753"
"libncursesw6","HIGH","6.1+20181013-2+deb10u2","6.1+20181013-2+deb10u5","ncurses before 6.4 20230408, when used by a setuid application, allows local users to trigger securi", allows local users to trigger securi"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: tcp_bpf: fix return value of tcp","CVE-2024-46783"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: Revert ""serial: 8250_omap: Set t","CVE-2024-46703"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: amt: fix possible memory leak in","CVE-2022-49369"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net/sched: cls_api: fix error ha","CVE-2025-21857"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: fbdev: sis: Error out if pixcloc","CVE-2024-26777"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.282-1","In the Linux kernel, the following vulnerability has been resolved: pinctrl: single: fix potential N","CVE-2022-48708"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: riscv: Prevent a bad reference c","CVE-2024-53075"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.232-1","In the Linux kernel, the following vulnerability has been resolved: ASoC: max9759: fix underflow in ","CVE-2022-48717"
"curl","LOW","7.64.0-4+deb10u2","7.64.0-4+deb10u3","libcurl keeps previously used connections in a connection pool for subsequenttransfers to reuse, if ","CVE-2021-22924"
